trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.9098240089227397}",30,0,-130.80644525400754,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.906939228331267}",25,0,-126.23491793864042,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.904013754156076}",25,0,-114.868268082291,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9010478789421463}",25,0,-77.01614889855814,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.8980418992745279}",25,0,-52.50151307623077,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.8949961157486825}",20,6,-91.52459437313323,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.8919108329404246}",25,0,-100.76994084959671,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.8887863593754639}",20,0,-70.72926792347116,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.8856230074985533}",20,5,-10.787751716941942,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.8824210936422442}",20,0,-92.68602750447988,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.8791809379952541}",20,0,-44.27488326091437,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.8759028645704475}",30,0,-192.7621278035204,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.8725872011724352}",20,0,-69.80373628596196,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.869234279364794}",25,0,-99.217381917756,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.8658444344369105}",25,0,-52.58207108230453,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.8624180053704527}",25,0,-18.81786408724561,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.8589553348054717}",35,0,-147.3648576243062,"{0: 22, 1: 2, 2: 9, 3: 0, 4: 2}",0
